,precision,recall,f1-score,support
Negative,0.8817584638706417,0.8677274987568374,0.87468671679198,2011.0
Positive,0.8697355533790402,0.8835820895522388,0.876604146100691,2010.0
accuracy,0.8756528226809251,0.8756528226809251,0.8756528226809251,0.8756528226809251
macro avg,0.8757470086248409,0.8756547941545381,0.8756454314463356,4021.0
weighted avg,0.8757485036398237,0.8756528226809251,0.8756451930194132,4021.0
